SEIL;DER;02/04/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB006085;26;R$ 513,808.53;sim
SEIL;DER;02/04/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB006086";26;R$ 397,171.73;sim
SEIL;DER;03/04/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB006152";26;R$ 4,905.20;sim
SEIL;DER;03/04/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB006153";26;R$ 3,349.27;sim
SEIL;DER;03/04/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB006154";26;R$ 3,340.44;sim
SEIL;DER;14/04/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB006523;26;R$ 310,720.73;sim
SEIL;DER;14/04/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB006524;26;R$ 385,254.87;sim
SEIL;DER;14/04/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB006525;26;R$ 367,815.67;sim
SEIL;DER;14/04/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB006526;26;R$ 41,558.90;sim
SEIL;DER;14/04/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB006527;26;R$ 24,805.87;sim
SEIL;DER;14/04/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB006528;26;R$ 24,763,238.59;sim
SEIL;DER;15/04/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Turvo - Guarapuava | 2025OB006666;26;R$ 83,653.62;sim
SEIL;DER;15/04/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Turvo - Guarapuava | 2025OB006667;26;R$ 52,283.50;sim
SEIL;DER;15/04/2025;755;"DUPLICAÇÃO E RESTAURAÇÃO DA RODOVIA PR-170/PRC-466, COM INICIO DO PERIMETRO URBANO DE
TURVO, E FINALIZANDO NO INÍCIO DA PISTA DUPLA EM GUARAPUAVA, NO ESTADO DO PARANÁ, NA
EXTENSÃO ESTIMADA DE 38,30KM - PALMEIRINHA E O INICIO DA PISTA DUPLA EM GUARAPUAVA - 11,52 KM | 2025OB006668";26;R$ 521,817.91;sim
SEIL;DER;15/04/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Turvo - Guarapuava | 2025OB006669;26;R$ 6,261,010.40;sim
SEIL;DER;22/04/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB006904";26;R$ 32,198.49;sim
SEIL;DER;22/04/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB006905";26;R$ 21,985.13;sim
