Órgão;Vinculada;Data;Fonte;Descrição;Função;Valor Repassado;Despesa presente no plano de aplicação
SEIL;DER;18/02/2025;755;RESTAURAÇÃO EM WHITETOPPING-PRC-280 | 2025OB003191;26;R$ 13.894.625,46;sim
SEIL;DER;19/02/2025;755;RESTAURAÇÃO EM WHITETOPPING-PRC-280 | 2025OB003251;26;R$ 134.187,67;sim
SEIL;DER;19/02/2025;755;RESTAURAÇÃO EM WHITETOPPING-PRC-280 | 2025OB003251;26;R$ 188.995,84;sim
SEIL;DER;19/02/2025;755;RESTAURAÇÃO EM WHITETOPPING-PRC-280 | 2025OB003252;26;R$ 391.380,71;sim
SEIL;DER;19/02/2025;755;RESTAURAÇÃO EM WHITETOPPING-PRC-280 | 2025OB003253;26;R$ 373.664,22;sim
SEIL;DER;19/02/2025;755;RESTAURAÇÃO EM WHITETOPPING-PRC-280 | 2025OB003254;26;R$ 42.219,72;sim
SEIL;DER;19/02/2025;755;RESTAURAÇÃO EM WHITETOPPING-PRC-280 | 2025OB003255;26;R$ 25.200,30;sim
SEIL;DER;21/02/2025;755;DUPLICAÇÃO E RESTAURAÇÃO DA RODOVIA PR-170/PRC-466 | 2025OB003557;26;R$ 26.806,85;sim
SEIL;DER;21/02/2025;755;DUPLICAÇÃO E RESTAURAÇÃO DA RODOVIA PR-170/PRC-466 | 2025OB003558;26;R$ 42.890,96;sim
SEIL;DER;24/02/2025;755;AMPLIAÇÃO DE CAPACIDADE PR-180 | 2025OB003648;26;R$ 106.890,94;sim
SEIL;DER;24/02/2025;755;AMPLIAÇÃO DE CAPACIDADE PR-180 | 2025OB003649;26;R$ 88.434,44;sim
SEIL;DER;24/02/2025;755;AMPLIAÇÃO DE CAPACIDADE PR-180 | 2025OB003650;26;R$ 134.575,70;sim
SEIL;DER;24/02/2025;755;DUPLICAÇÃO E RESTAURAÇÃO DA RODOVIA PR-170/PRC-466 | 2025OB003651;26;R$ 3.504.549,16;sim
SEIL;DER;24/02/2025;755;AMPLIAÇÃO DE CAPACIDADE PR-180 | 2025OB003652;26;R$ 8.577.677,63;sim
